city,restaurant,latitude,longitude
Montreal,Slice & Soda,45.50273,-73.55542
Montreal,P23 dumplings- The Point,45.4787565,-73.5690924
Montreal,Teochew Foodie,45.5201947,-73.574933
Montreal,Rotisserie Mile End,45.5243975,-73.59986769999999
Montreal,Roi du taco express,45.5255887,-73.5992921
Montreal,Trattoria Trestevere,45.4969811,-73.5748906
Montreal,Restaurant Tivoli Bardo,45.4954572,-73.61990310000002
Montreal,College Cafe,45.4984435,-73.5746763
Montreal,Marché Sushi Poke,45.5175782,-73.5787319
Montreal,Jugo Juice,45.5018869,-73.56739189999999
Montreal,Valentine,45.5018869,-73.56739189999999
Montreal,Bubble Tea Shop,45.5018869,-73.56739189999999
Montreal,Le Petit Vibe,45.5096042,-73.5639072
Montreal,La Scampia,45.5083421,-73.5522501
Montreal,La Fabrique de Bagel Montreal,45.5020089,-73.5605637
Montreal,G.O.A.T. Grill,45.47495,-73.58658810000001
Montreal,Poutine Lafleur (3665 Rue Wellington),45.46726880000001,-73.5667323
Montreal,Depanneur Snackzilla,45.5282929,-73.5599482
Montreal,Junior,45.4866148,-73.56947790000001
Montreal,La Morelia Restaurant,45.5209489,-73.5540441
Montreal,Le Gout Du Vietnam,45.5204751,-73.5545183
Montreal,"Eurovap - Munchies, Snacks & Sodas Exotiques",45.53375399999999,-73.561712
Montreal,Shushu Bar a Poke + Sushi,45.4835777,-73.5736531
Montreal,Copper Branch,45.5018869,-73.56739189999999
Montreal,Sugar Marmalade,45.4959048,-73.5755065
Montreal,La Marinara Express,45.5203438,-73.5909048
Montreal,Restaurant Asha,45.5092682,-73.5735019
Montreal,Steak Frites,45.5184165,-73.5966115
Montreal,Lattuca Barbecue,45.5049453,-73.5535082
Montreal,Fiorella,45.5016893,-73.5736656
Montreal,Grillades Torino,45.5018869,-73.56739189999999
Montreal,Second Cup,45.5018869,-73.56739189999999
Montreal,La Diperie,45.5018869,-73.56739189999999
Montreal,Hooters,45.4977064,-73.5763688
Montreal,Küto Comptoir à Tartares,45.5742205,-73.5924065
Montreal,The Cheesecake Factory Bakery at La Diperie,45.5018869,-73.56739189999999
Montreal,Van Houtte,45.5717459,-73.6090105
Montreal,Rocky Mtn Chocolate,45.5029625,-73.57144149999999
Montreal,Wally's Crème Glacée Végane,45.5240655,-73.5730452
Montreal,Main Xiang Yuan,45.5018869,-73.56739189999999
Montreal,Chop Crazy Gare Centrale,45.4999304,-73.5665831
Montreal,Carre Confiseries (Peel St),45.5003956,-73.573469
Montreal,Rhum Cafe,45.6210384,-73.5888533
Montreal,Le Vieux Dublin Pub & Restaurant,45.5030083,-73.56864639999999
Montreal,Ting Xang Dumpling,45.5018869,-73.56739189999999
Montreal,Saké Grillades,45.5233892,-73.59323049999999
Montreal,Chicha Restaurant,45.4947706,-73.5800642
Montreal,Restaurant Pho Mont Royal,45.5311406,-73.57645450000001
Montreal,Eggspectation,45.5018869,-73.56739189999999
Montreal,Le Trou inc.,45.5473569,-73.575499
Montreal,Just Pressed,45.499567,-73.57379999999999
Montreal,Les Glaceurs,45.5277076,-73.57602349999999
Montreal,La Fabrique de Bagel,45.5018869,-73.56739189999999
Montreal,Tommy Cafe,45.5038209,-73.5573724
Montreal,Pamplemousse Cafe,45.521746,-73.562227
Montreal,Boba Boba,45.4948819,-73.558635
Montreal,Restaurant Le Boucan,45.48731249999999,-73.5689711
Montreal,Universel,45.56574320000001,-73.5531784
Montreal,Meet Fresh,45.4938204,-73.57964369999999
Montreal,Presse Café,45.5018869,-73.56739189999999
Montreal,Restaurant Mr.DAKGALBI,45.4922042,-73.5831099
Montreal,BIS,45.4977498,-73.574221
Montreal,Brioche Dorée,45.5018869,-73.56739189999999
Montreal,Le Vieux St-Laurent,45.5168261,-73.5787562
Montreal,Burger Fiancé,45.50140700000001,-73.5594186
Montreal,Au Pain Doré,45.5018869,-73.56739189999999
Montreal,La Fabrique de Bagel - Westmount,45.4875857,-73.5862882
Montreal,Cafe Vasco Da Gama,45.5006345,-73.5745293
Montreal,Noobox,45.50546110000001,-73.55936369999999
Montreal,Livia (1468 Peel St),45.5005392,-73.5743181
Montreal,L2 Lounge (Rue De La Gauchetiere O),45.5073406,-73.5607436
Montreal,Julian's Comptoir Gourmand,45.5188111,-73.5877137
Montreal,Les Moulins La Fayette,45.5313643,-73.576208
Montreal,Sushiyo,45.5049396,-73.57299259999999
Montreal,The Bier Markt,45.4973799,-73.5720465
Montreal,Al-Taib Express,45.4957237,-73.5777969
Montreal,Avesta Restaurant,45.491565,-73.5825278
Montreal,Les Brunchs de Mathieu,45.6158734,-73.5489668
Montreal,Allo! Mon Coco,45.5018869,-73.56739189999999
Montreal,Cachitos,45.5098186,-73.56403949999999
Montreal,Pizza Soleil,45.5049917,-73.5714533
Montreal,Spirulina,45.499567,-73.57379999999999
Montreal,Resto Café Oxford,45.47114879999999,-73.6143077
Montreal,Farrouj Express,45.5102521,-73.5750175
Montreal,Sushi Ste-catherine,45.4938163,-73.5794832
Montreal,Snatch Restaurant,45.5215338,-73.5890893
Montreal,Barley,45.48249999999999,-73.57611109999999
Montreal,Belle province familiale,45.4455412,-73.74194949999999
Montreal,Sushiman,45.5018869,-73.56739189999999
Montreal,5Senses,45.5067379,-73.56638699999999
Montreal,Kame Snack-Bar,45.5181799,-73.5561349
Montreal,Les Grillades Du Cèdre,45.4957585,-73.5539173
Montreal,Pizzeria Heirloom,45.5493972,-73.5420583
Montreal,Cafe Aunja,45.4977417,-73.58028329999999
Montreal,Peel Pub,45.4994033,-73.57194249999999
Montreal,Enoteca Monza Pizzeria Moderna,45.5017873,-73.5703278
Montreal,Buffalo Bill Wings,45.5018869,-73.56739189999999
Montreal,Metro Cellular / SIM Cards,45.510127,-73.554734
Montreal,La Fabrique,45.5181712,-73.56956670000001
Montreal,Breizh Cafe - Crêperie Bretonne,45.516789,-73.578721
Montreal,Cora,45.5018869,-73.56739189999999
Montreal,Atti Express,45.5022718,-73.5697789
Montreal,En Couleur,45.51918819999999,-73.55742339999999
Montreal,Ispahan,45.4831986,-73.56184429999999
Montreal,Ben & Florentine,45.5018869,-73.56739189999999
Montreal,Mister Steer Restaurant,45.49873849999999,-73.5740237
Montreal,Chez Lin (Vent Doux),45.43395200000001,-73.6287555
Montreal,Leche Desserts,45.4741469,-73.59223709999999
Montreal,Patisserie De La Gare,45.465928,-73.5665906
Montreal,Capitaine Sandwich,45.5183185,-73.5783183
Montreal,Pub Mc Carold's,45.4967464,-73.6237182
Montreal,Dépanneur Tina plus,45.5224508,-73.5617242
Montreal,Philinos,45.5181835,-73.5929208
Montreal,Pizzeria Geppetto,45.4516354,-73.5726136
Montreal,Cafétéria La Mosaïque,45.5066628,-73.57586119999999
Montreal,La Boite Verte,45.49963899999999,-73.563631
Montreal,la perle bleue,45.49341,-73.57372269999999
Montreal,042 Afro Lounge,45.4957122,-73.575166
Montreal,Ragù ( Le Central ),45.5093056,-73.562932
Montreal,La Baguette Farcie,45.5329984,-73.56733
Montreal,Resto-Bar Le Chevalier Blanc,45.4619102,-73.57170959999999
Montreal,Bernice,45.4697465,-73.59256049999999
Montreal,Van Winkle's Sandwiches and Cafe,45.5018869,-73.56739189999999
Montreal,Chez Ta Mère,45.5242606,-73.5946167
Montreal,Café Mimosa,45.5133458,-73.57102619999999
Montreal,Kim Chi Korean Delight,45.5018869,-73.56739189999999
Montreal,Pok Pok,45.5075084,-73.5644126
Montreal,Fresh Mint,45.5096585,-73.573697
Montreal,Takumi Sushi,45.517186,-73.5675984
Montreal,La Petite Marche,45.5267457,-73.5886482
Montreal,Restaurant District 4,45.5018869,-73.56739189999999
Montreal,Restaurant l'Anecdote,45.5237157,-73.576651
Montreal,Masala indian cuisine,45.5018869,-73.56739189999999
Montreal,Deli Grill,45.50093409999999,-73.5737683
Montreal,Pizzéria Montréal New York,45.5104973,-73.5630986
Montreal,Tropikàl,45.4803592,-73.579076
Montreal,Muffin Plus,45.5018869,-73.56739189999999
Montreal,Quiznos,45.5018869,-73.56739189999999
Montreal,Time,45.5018869,-73.56739189999999
Montreal,Casa Kaizen by Sushi MoMo,45.5250677,-73.5849511
Montreal,Le Warehouse Crescent St,45.4975187,-73.57689859999999
Montreal,Cacao 70 Eatery,45.5018869,-73.56739189999999
Montreal,Lola Rosa,45.5068838,-73.5662586
Montreal,OPIANO,45.5018168,-73.57693259999999
Montreal,RESTAURANT BIIRU,45.5050012,-73.5686458
Montreal,Nouveau Palais,45.523943,-73.605494
Montreal,LE RED TIGER Pub Vietnamien / Vietnamese Pub,45.51920459999999,-73.55783389999999
Montreal,Hello 123,45.4797894,-73.58038599999999
Montreal,Crescent Sushi,45.4977264,-73.57652089999999
Montreal,Poke Star,45.5056763,-73.570876
Montreal,Le Coq Frit,45.4935731,-73.5791285
Montreal,Chatime,45.5242858,-73.7134681
Montreal,Mei Restaurant,45.4962457,-73.5774404
Montreal,Sandwicherie Ka'ek,45.4965941,-73.579028
Montreal,Formosa (Rue Cathcart),45.5022718,-73.5697789
Montreal,Soupebol Nouillerie,45.50411390000001,-73.5683944
Montreal,Kampai Garden (Sainte-Catherine St W),45.493668,-73.578694
Montreal,Kalbi,45.5080611,-73.5595872
Montreal,Dandy,45.5033143,-73.5586126
Montreal,Pizza Madona,45.5306819,-73.5550456
Montreal,Mon Ami,45.5018869,-73.56739189999999
Montreal,Le Belle Province (St. Catherine St E),45.5460184,-73.53736359999999
Montreal,L'avenue,45.47956749999999,-73.5808021
Montreal,Archway bar santé,45.59679999999999,-73.5344259
Montreal,Poke Mahalo,45.533721,-73.5739859
Montreal,Mono cafe,45.4981866,-73.57840999999999
Montreal,Maiolo Montreal,45.466986,-73.6464361
Montreal,Arabesque Resto Bar,45.4949135,-73.5769172
Montreal,Restaurant Le Calvaire,45.49802709999999,-73.57316829999999
Montreal,Northwestern Chinese Cuisine (白家老汤),45.4933857,-73.5793959
Montreal,Thaiphon,45.5051095,-73.57143909999999
Montreal,Gyu-Kaku Japanese BBQ,45.4969778,-73.5750797
Montreal,Falafel Avenue,45.5042331,-73.5724714
Montreal,Bistro 1242 bar sportif,45.4982263,-73.5736821
Montreal,Siam Centre Ville,45.4966023,-73.5728652
Montreal,Omnivore PVM,45.5009951,-73.5689364
Montreal,Chifa,45.5045089,-73.5636596
Montreal,Il Milanese,45.4800464,-73.5799558
Montreal,Dépanneur After Hours,45.4929014,-73.5800948
Montreal,Saladesalad,45.5018869,-73.56739189999999
Montreal,Greenspot 1947,45.4809248,-73.5788376
Montreal,Déjeunette,45.5028466,-73.5752364
Montreal,Snax,45.5018869,-73.56739189999999
Montreal,Osteria mkt,45.5038213,-73.5707385
Montreal,Motel Mexico,45.5018869,-73.56739189999999
Montreal,SHAY Express,45.4913829,-73.5658059
Montreal,Cafe Pave (Rue Notre-Dame O),45.503265,-73.5580942
Montreal,M4 Burritos Concordia,45.4960622,-73.5787922
Montreal,Crossbar Restaurant,45.4955181,-73.5731093
Montreal,Maman,45.4905306,-73.56665
Montreal,Tiramisu,45.5078904,-73.559039
Montreal,Tiradito,45.504513,-73.56342719999999
Montreal,Ayla,45.4884779,-73.566762
Montreal,Le Comptoir Sushi et Prêt-à-Manger,45.506612,-73.554993
Montreal,Barroco,45.50140409999999,-73.5559468
Montreal,Au Festin de Babette,45.5211722,-73.57642779999999
Montreal,Maquis yasolo,45.4790187,-73.5824339
Montreal,Bazaar Foods,45.5382606,-73.6595779
Montreal,Burgers Galore,45.5001134,-73.5665231
Montreal,Green Cafe,45.5025051,-73.5717244
Montreal,MB2GO (1050 Beaver Hall),45.50197180000001,-73.5648776
Montreal,Circos Montreal,45.5076987,-73.5711287
Montreal,Ristorante Aria,45.5010146,-73.5644801
Montreal,Ramen 9000,45.5018869,-73.56739189999999
Montreal,Restaurant Keung Kee,45.507253,-73.560407
Montreal,Monami Express Condordia,45.4948363,-73.5779128
Montreal,saint döner sandwichs,45.5214733,-73.5780269
Montreal,La Maison Oflore,45.521974,-73.57488099999999
Montreal,Dynastie,45.5073778,-73.5599083
Montreal,Stonefire Pizza,45.5018869,-73.56739189999999
Montreal,Tacos Tin Tan,45.5193737,-73.5732574
Montreal,Montréal kebab,45.50719,-73.5525049
Montreal,CafeDemix,45.5018869,-73.56739189999999
Montreal,Columbus Café & Co,45.5018869,-73.56739189999999
Montreal,Darlington Boire & Manger,45.5053277,-73.56423010000002
Montreal,Restaurant La Palma,45.5059808,-73.5638436
Montreal,Bulma Bar,45.50018379999999,-73.5598763
Montreal,Arriba Burrito,45.5148362,-73.5625513
Montreal,Delices Place,45.5018869,-73.56739189999999
Montreal,Arabica Lounge,45.495378,-73.57579199999999
Montreal,Kupfert & Kim,45.5018869,-73.56739189999999
Montreal,Le P'tit Plateau (Marie-Anne St ),45.5222142,-73.5810267
Montreal,Nopalito by Sushi MoMo,45.5250677,-73.5849511
Montreal,Injoy Puff Corner,45.49251109999999,-73.5802937
Montreal,B&M Plateau (Rue Saint Viateur O),45.5018869,-73.56739189999999
Montreal,Yokato Yokabai (4185 Drolet Street),45.5212262,-73.5785399
Montreal,Depanneur Provi-Soir,45.5533531,-73.5800485
Montreal,Place Deschamps,45.5450266,-73.6952745
Montreal,Quattro Piatti,45.502018,-73.560006
Montreal,Gourmet Bagels And Subs,45.5018869,-73.56739189999999
Montreal,La mignonette,45.5092681,-73.5631729
Montreal,Bourak Se7en's,45.5018869,-73.56739189999999
Montreal,Terra Verde,45.5048813,-73.5602771
Montreal,Restaurant Ong Ca Can,45.51083149999999,-73.56320099999999
Montreal,Mr Smoke Meat Inc,45.5222065,-73.6070437
Montreal,Crux Comptoir,45.4465066,-73.4370478
Montreal,Kamuy 1485 Jeanne Mance,45.5079134,-73.5673078
Montreal,Monsieur Restaurant Bar,45.50469589999999,-73.5638172
Montreal,Cafe Saint-Henri,45.500989,-73.56441099999999
Montreal,Balance Torrefacteur,45.4631702,-73.5779529
Montreal,Magasin Privé,45.4996912,-73.57301100000001
Montreal,Dadashi,45.4929362,-73.579914
Montreal,Kamé Snack Bar Hawaien,45.50961650000001,-73.5638433
Montreal,Mon Shing,45.5070842,-73.5606196
Montreal,SeaSalt & Ceviche Bar,45.5036111,-73.5541667
Montreal,La Petite Maison,45.4972869,-73.57724139999999
Montreal,Kali Bistro,45.4884712,-73.5683474
Montreal,Baratartar,45.49895739999999,-73.55396499999999
Montreal,Aqua E Farina,45.4746128,-73.6233243
Montreal,Marche Des Eclusiers (Rue De La Commune O),45.4985532,-73.55210699999999
Montreal,Cantine Burgz,45.47896189999999,-73.5699151
Montreal,Pho Cali,45.5522381,-73.7596747
Montreal,Restaurant Tapas Pintxo (Rue Sainte-Catherine O),45.5096747,-73.5637794
Montreal,Deno's Restaurant,45.512725,-73.55786839999999
Montreal,Pannizza (1980 Sherbrooke O),45.4936841,-73.5835799
Montreal,Zizipop,45.5209027,-73.5541317
Montreal,Dog House,45.51432579999999,-73.572431
Montreal,La Vieille Europe,45.515968,-73.5767709
Montreal,One Babo,45.5052567,-73.55338429999999
Montreal,Nmenan's Bazaar,45.5018869,-73.56739189999999
Montreal,Le Parva Bistro,45.5157941,-73.5625672
Montreal,La Voute,45.5022567,-73.559135
Montreal,Micro Espresso Café,45.50153780000001,-73.5567052
Montreal,Station Vitamine,45.50184060000001,-73.57018939999999
Montreal,Café Nocturne,45.513585,-73.5729521
Montreal,Beauty's Restaurant,45.5191028,-73.5874975
Montreal,Euro-Market,45.4855157,-73.62716549999999
Montreal,Branzino (50 Boulevard Rene-Levesque O),45.5018869,-73.56739189999999
Montreal,Maison Kim Fung,45.461212,-73.4640939
Montreal,Mehadrin Deli,45.5231016,-73.6062093
Montreal,Le Club Burgers - Sandwiches - Wraps,45.5323066,-73.5811157
Montreal,Y-Fried Chicken,45.5018869,-73.56739189999999
Montreal,Holiday's Resto and Snack,45.5018869,-73.56739189999999
Montreal,trattoria gio,45.5079193,-73.5537918
Montreal,Rotisseries Au Coq,45.5876577,-73.53992579999999
Montreal,Patati Patata Friterie De Luxe,45.5180533,-73.5814759
